16:37:39 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Creating web driver configuration...
16:37:39 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Open browser...
16:38:03 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[6]
16:38:06 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:06 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:06 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:06 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:06 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[7]
16:38:06 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[7]
16:38:09 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:09 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:09 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:09 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:10 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[8]
16:38:10 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[8]
16:38:13 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:13 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:13 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:13 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:13 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[9]
16:38:13 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[9]
16:38:16 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:16 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:16 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:16 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:17 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[10]
16:38:17 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[10]
16:38:19 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:19 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:19 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:19 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:20 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[11]
16:38:20 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[11]
16:38:23 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:23 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:23 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:23 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:24 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[12]
16:38:24 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[12]
16:38:26 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:26 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:38:26 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:38:26 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:38:27 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[13]
16:38:27 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[13]
16:38:30 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:38:30 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
